Name,URL,Category,100-char description
Billables AI,billables.ai,AI Tool / SaaS,"Auto-track billable hours for lawyers, consultants, and pros."
Pirsch,pirsch.io,SaaS / Analytics,Privacy-first open-source analytics—cookie-free and lightweight.
Podia,podia.com,SaaS / Creator,"All-in-one platform for sites, blogs, products, and online sales."
Hatch FM,hatch.fm,SaaS / Audio,Turn recordings into content engines for creators and businesses.
Figdam,figdam.com,SaaS / Design,Sync and manage campaign assets in Figma and Webflow.
UXKosta,uxkosta.com,Portfolio / Design,"Freelance designer creating websites, apps, and visuals."
Pixyer AI,pixyer.ai,AI Tool / E-commerce,AI background generator for product photos and e-commerce visuals.
MotherDuck,motherduck.com,SaaS / Analytics,"Cloud analytics built on DuckDB—fast, scalable, and modern."
OpenServ AI,openserv.ai,AI Lab,AI research lab building infra for autonomous agents.
TimeOS,timeos.ai,AI Tool / Productivity,"AI for time management, notes, scheduling, and task automation."
Cur8ed,cur8ed.app,E-commerce / Fashion,Curated fashion feed bringing all your favorite brands together.
Arcads AI,arcads.ai,AI Tool / Video,"Generate UGC videos with scripts, actors, and AI in 2 minutes."
Flexport,flexport.com,SaaS / Supply Chain,Global logistics platform for cost savings and carbon-neutral trade.
PathPilot,getpathpilot.com,Fintech / AI Tool,"Build secure AI agents for banks and fintechs, fast and compliant."
Checkr,checkr.com,SaaS / HR Tech,AI-powered background checks to hire faster and scale.
Replika,replika.ai,AI Tool / Social,"AI companion app for chatting, growth, and personal support."
Overlap,joinoverlap.com,AI Tool / Video,Automates clipping and posting video content with AI agents.
Voxa Pro,voxa.pro,AI Tool / Productivity,"AI voice assistant integrated with Notion, Tasks, and Calendar."
Weave,getweave.com,SaaS / Communication,Phone system + comms suite to automate tasks and payments.
CodeGroupie,codegroupie.com,SaaS / Community,Collaborate on open-source projects and connect with developers.
Hasura,hasura.io,SaaS / AI Tool,High-impact decision-making and automation powered by AI.
Mac Mini,apple.com/mac-mini,Hardware,Apple Mac mini with M4 chips and Apple Intelligence features.
Index App,index.app,Business App / BI,Collaborative BI platform for dashboards and data insights.
Butter,butter.us,SaaS / Collaboration,Virtual collaboration tool for engaging sessions and workshops.
BetterStack,betterstack.com,SaaS / DevOps,"AI-native platform for monitoring, incident response, and logs."
Shoyokoko,shoyokoko.co,Website,Limited data available. Brand portfolio placeholder.
Genway AI,genway.ai,AI Tool / Research,AI user research platform automating interviews for insights.
Genbler,genbler.com,AI Tool / Content,AI platform for streamlined content creation and automation.
Postiz,postiz.com,SaaS / Marketing,"Manage, schedule, and analyze all social media in one dashboard."
Agree.com,agree.com,SaaS / LegalTech,"Contract-to-payment with e-signatures, invoices, and payments."
Quorini,quorini.com,SaaS / Dev Tool,"Visual backend builder for serverless apps, web, and mobile."
Segwise AI,segwise.ai,AI Tool / Marketing,"AI agents to tag creatives, analyze data, and boost ROAS."
BetterBugs,betterbugs.io,SaaS / Dev Tool,"Debugging with AI: screenshots, logs, and instant replay."
Diaflow,diaflow.io,AI Tool / Productivity,Build AI workflows across teams to enhance productivity and efficiency.
ATPCO,atpco.net,Aviation Tech,Airline pricing and fare distribution solutions.
TechTO,techto.org,Community / Networking,Canada’s leading tech community to meet leaders and share ideas.
Blitzit,blitzit.app,Productivity App,Simple to-do list + timer with Notion & Google Calendar integration.
Tars,hellotars.com,SaaS / AI Tool,No-code AI agent builder for workflow automation and engagement.
Weam.ai,weam.ai,AI Tool,Not available (site error).
OpenPipe,openpipe.ai,AI Tool / Enterprise,Fine-tuning and deployment of AI models for enterprises.
TripIt,tripit.com,Travel App,"All-in-one app to organize travel plans, reminders, and alerts."
Socap AI,socap.ai,AI Tool / Investment,AI investor and coach for AI-native solo startup founders.
Cademy,cademy.xyz,E-learning / SaaS,CAD courses on Rhino & Grasshopper 3D with expert instructors.
Buck Mason,buckmason.com,E-commerce / Fashion,Timeless men’s clothing inspired by California craftsmanship.
Presence Bio,presence.bio,Domain / Website,Domain for sale via ExpiredDomains.com.
Agree (PH),agree.com/product-hunt,SaaS / LegalTech,"Secure e-signatures, invoicing, and integrated payment workflows."
Spellbook,spellbook.legal,SaaS / LegalTech,"AI contract review for lawyers, embedded in Microsoft Word."
Resonance,theresonance.studio,Design Studio,AI-driven brand and product studio for founders and startups.
Ledbury,ledbury.com,E-commerce / Fashion,Men’s apparel brand specializing in shirts and accessories.
ListenUp,listenup.ai,AI Tool / Feedback,Centralize customer feedback directly into Notion.
Composio,composio.dev,AI Tool / Dev,APIs and SDKs enabling AI agents to interact with business apps.
Granola,granola.ai,SaaS / Productivity,Turn raw meeting notes into polished team-ready documentation.
CleanMyMac Biz,macpaw.com,SaaS / IT,Manage Mac devices with 20+ tools for security & performance.
Marketeam AI,marketeam.ai,AI Tool / Marketing,AI marketing agents maximizing ROI and growth efficiency.
InkStory,inkstory.app,Mobile App / Lifestyle,Audio tattoos app that brings ink to life with stories.
Zipy AI,zipy.ai,AI Tool / Dev,Debug mobile apps with AI-powered replays for errors.
Humiris,humiris.ai,AI Tool / LLM,Build custom reasoning models with higher accuracy and speed.
Fenado,fenado.ai,AI Tool / Dev Agency,"AI-powered design-to-app agency delivering faster, cheaper builds."
arby Parker,warbyparker.com,E-commerce / Eyewear,"Eyeglasses and sunglasses with home try-on, vision care, and modern designs."
Bee,bee.computer,Hardware / AI Device,Wearable personal AI assistant for on-the-go help and context.
MVMT,mvmt.com,E-commerce / Fashion,"Watches, eyewear, and accessories with modern designs and 95K+ reviews."
JustFab,justfab.com,E-commerce / Fashion,"Membership fashion brand for shoes, clothing, and accessories."
DHL India,dhl.com/in-en,Logistics,"International shipping, courier, and logistics for India and beyond."
Viator,viator.com,Travel / Marketplace,"Book tours, activities, and experiences worldwide with trusted reviews."
Scrapeless,scrapeless.com/en,SaaS / Web Scraping,"Full-stack scraping toolkit: APIs, browser, captcha solver, and proxies."
QuickBooks Global,quickbooks.intuit.com/global,Fintech / Accounting,"Accounting, invoicing, payroll, and GST-ready tools for small businesses."
Taplo,taplo.io,SaaS / Marketing,Real-time social proof popups to boost conversions and credibility.
GoWhale,gowhale.com,Fintech / Real Estate,Renter-owned high-yield savings replacing security deposits at zero cost.
Sparkbase,sparkbase.ai,AI Tool / Sales,AI sales using B2B data + live web signals for personalized outreach.
XPO,xpo.com,Logistics,LTL freight shipping provider in North America with instant quotes.
Werner,werner.com,Logistics,Trucking & logistics company serving USA & Mexico freight.
Codev,co.dev,AI Tool / Dev,AI-powered platform that converts text into full-stack Next.js apps.
Skyvern,skyvern.com,Business App,Automate browser-based workflows with LLMs + Computer Vision.
Webdone,webd.one,Developer App,AI landing page builder with SEO & responsive design.
Opera Air,opera.com/air,Browser,Distraction-free mindful browsing with Opera Air.
Supabase,supabase.com,SaaS / Dev Tool,Open-source Firebase alternative with Postgres & instant APIs.
Plaid,plaid.com,Fintech,API platform connecting financial accounts to apps securely.
NG Bailey,ngbailey.com,Construction,UK-based independent engineering & services business.
Nowadays,getnowadays.com,SaaS / Events,Automated corporate event planning with exclusive partnerships.
Limitless AI,limitless.ai,AI Tool,Personalized AI assistant powered by your personal data.
Taylor Lane,taylor-lane.co.uk,Construction,UK timber frame systems manufacturer for 40+ years.
Lendlease UK,lendlease.com/uk,Real Estate,Global property & infrastructure development firm.
Target,target.com,Retail / E-commerce,"Shop groceries, essentials, clothing, and electronics online."
Lovable,lovable.dev,SaaS / Dev Tool,Build software products using only a chat interface.
ToolFinder,toolfinder.co,SaaS / Directory,Discover thousands of productivity tools for work & life.
Gumloop,gumloop.com,SaaS / Automation,No-code AI platform to build and host business automations.
Glencar,glencar.com,Construction,"UK construction of logistics, industrial & distribution sites."
Ayush Wanjari,ayushwanjari.com,Portfolio,Designer building software & websites across industries.
Planzer,planzer.io,SaaS / Productivity,Centralize tasks & calendars to plan more productive weeks.
UsePortal,useportal.net,SaaS / Business,"Send proposals, collect payments, manage subs & invoices."
Josh Dring,joshdring.com,Portfolio,UK-based UX designer solving complex problems sustainably.
Figr Design,figr.design,SaaS / Design,AI design agent generating production-ready UX flows.
ADCO Construction,adcoconstruction.co.uk,Construction,"UK-based builders for extensions, new builds, and refurb."
Earn It,youearnit.com,Mobile App / Health,App rewarding healthy lifestyle choices with real cash.
Orchestra,getorchestra.com,SaaS / Business,"Client portal to accept payments, manage tasks & documents."
Tonemaki,tonemaki.com,SaaS / Design,"No-code sites, 2D/3D design & motion graphics services."
Aritro,aritro.xyz,Portfolio,"Product designer crafting clean, intuitive digital interfaces."
Stockimg AI,stockimg.ai,AI Tool / Design,"AI tool to generate logos, posters, wallpapers & graphics."
GoBolt,gobolt.com,SaaS / Logistics,Sustainable 3PL provider offering logistics and carbon-conscious delivery.
Recraft AI,recraft.ai,AI Tool / Design,Generate high-quality vector artwork & export to SVG instantly.
Asana,asana.com,SaaS / Productivity,"Manage work, tasks, and projects anywhere with Asana’s collaboration hub."
Logiwa,logiwa.com,SaaS / Logistics,"Cloud-native WMS for high-volume B2B, DTC & 3PL fulfillment."
Cleveland Clinic,clevelandclinic.org,Healthcare / Nonprofit,"Nonprofit medical center for clinical care, research & education."
Bringg,bringg.com,SaaS / Logistics,Fulfillment and delivery orchestration platform for enterprises.
PCL,pcl.com,Construction,Employee-owned firm delivering building & infrastructure projects.
Allwyse,allwyse.io,SaaS / Coaching,Marketplace for coaches to sell services with AI integration.
Hoody,hoody.com/ai,SaaS / Security,"AI VPN & privacy toolkit for anonymous, per-app browsing."
Portkey,portkey.ai,AI Tool / SaaS,"AI gateway with observability, guardrails & prompt management."
Guidde,guidde.com,SaaS / Documentation,Create step-by-step videos and guides instantly.
ShipBob,shipbob.com,SaaS / E-commerce,E-commerce fulfillment with 2-day shipping & inventory tools.
GlassFlow,glassflow.dev,SaaS / Data,Data pipeline tool from Kafka to ClickHouse with 10x efficiency.
Christy Dawn,christydawn.com,E-commerce / Fashion,Regenerative fashion brand promoting sustainability in apparel.
Khan Academy,khanacademy.org,Nonprofit / Education,Free world-class online courses across multiple subjects.
Unriddle AI,unriddle.ai,AI Tool / Research,"Automate research workflows with AI, verify sources & collaborate."
CodeChef,codechef.com,E-learning / Dev,"Coding practice, contests, and beginner-friendly courses."
Just Salad,justsalad.com,E-commerce / Food,Plant-forward restaurant brand with reusable bowls & menu variety.
Popcorn,popcorn.space,SaaS / Telco,Next-gen telecom offering global plans with no roaming fees.
Coursera,coursera.org,E-learning / SaaS,Online courses & degrees from leading universities & companies.
Simplilearn,simplilearn.com,E-learning,Online bootcamps and certifications for career growth.
Android Auto,android.com,Tech / Auto,Smart driving companion connecting your phone to your car.
Equals,equals.com,SaaS / Analytics,"All-in-one GTM analytics syncing Salesforce, Stripe & SQL."
Alison,alison.com,E-learning,Free online courses with certificates to upskill careers.
EatCala,eatcala.com,E-commerce / Food,Paris-based customizable pasta & salad restaurants.
O’Halloran & O’Brien,ohob.com,Construction,Construction services provider in the UK.
Swatle,swatle.ai,AI Tool / Productivity,Boost productivity with AI-powered project updates & ticketing.
Quso AI,quso.ai,AI Tool / Video,Video repurposing & scheduling tool trusted by creators.
Rootly,rootly.com,SaaS / DevOps,AI-native platform for incident management & on-call response.
Overpass,overpass.com,SaaS / Talent,Marketplace for hiring remote sales & support reps with ease.
Lovo AI,lovo.ai,AI Tool / Voice,AI voice generator & TTS with 500+ voices in 100+ languages.
Picflow,picflow.com,SaaS / Creative,Client gallery & collaboration platform for creative pros.
Zeplin,zeplin.io,SaaS / Design,Design delivery tool bringing harmony to designers & devs.
Dorik,dorik.com,SaaS / Website Builder,"AI website builder with SEO, design tools, and business features."
Tiledesk,tiledesk.com,SaaS / AI Chatbot,Open-source no-code platform for AI chatbots + live agents.
Fliki,fliki.ai,AI Tool / Video,"AI video generator with TTS, clips, and voiceovers."
Affine,affine.pro,SaaS / Editor,"Universal editor to work, present, play, and create anything."
Pretty Progress,prettyprogress.app,Mobile App / Productivity,Countdown timers & widgets for iOS Home & Lock Screen.
Kino,shotwithkino.com,SaaS / Video,"Cinematic video app with LUTs, presets & pro tools."
Riley,rileyapp.com,SaaS / Family,AI-powered app with personalized guidance for families.
Column,column.com,Fintech,Nationally chartered bank for developers & financial builders.
Clipdrop,clipdrop.co,AI Tool / Design,"AI tools for image cleanup, background removal & upscaling."
Triage,triage.cc,Mobile App / Productivity,iPhone app to keep up with busy email inboxes easily.
Samara,samara.com,Real Estate,Backyard homes & ADUs with elevated design & solar power.
Fable & Mane,fableandmane.com,E-commerce / Beauty,"Ayurvedic-inspired vegan, cruelty-free haircare products."
Capital,capital.xyz,Fintech,"Manage raising, holding, spending & sending funds in one place."
Traverse,traverse.link,SaaS / Learning,"Learning tool with mind maps, spaced repetition & notes."
Crappy Presentations,crappypresentations.com,Design Agency,Presentation design agency for decks & corporate visuals.
Making Software,makingsoftware.com,Reference / SaaS,Reference manual for software designers & builders.
Boring Dice,boringdice.app,Mobile App / Fun,"Simple, stunning, tactile dice roller app for iOS."
Status,status.app,Crypto / Messenger,Decentralized crypto wallet + private messaging app.
Robbin Forssell,robbinforssell.com,Portfolio,Designer focused on e-commerce & user-centered digital design.
Sefik Mujkic,sefikmujkic.com,Portfolio,Sarajevo-based designer with 10+ years in B2B/B2C software.
UFO Timeline,ufotimeline.com,Website / Info,Online overview & resources on UFO phenomena.
NotifPay,notifpay.com,SaaS / Marketing,Display live purchases as social proof to boost conversions.
Naoma AI,naoma.ai,AI Tool / SaaS,AI demo agent to auto-qualify leads and sync to CRM.
Plants to the Rescue,plantstotherescue.co,E-commerce / Health,"Organic herbal tinctures blending Ayurveda, TCM & Western remedies."
HeyEddie,heyeddie.ai,AI Tool / Video,Prompt-to-video editor for crafting interview stories. (Not available)
Obscura,obscura.net,Software,Photography software for Mac users.
After Party Studio,afterparty.studio,Creative Agency,"Creative production studio making ads, films, and content. (Not available)"
NextUpKit,nextupkit.com,Web App / Dev,Next.js starter kit & boilerplate for SaaS launches.
Directify,directify.app,SaaS / Website Builder,Build your own directory website quickly and easily.
NumeralHQ,numeralhq.com,SaaS / Fintech,Fully managed sales tax compliance platform.
MyWebSEO,mywebseo.ai,SEO Tool,Instant AI-powered SEO analysis & optimization tips.
Sahha,sahha.ai,API / Health,"API for wellness, sleep & biomarker insights integration."
Skarbe,skarbe.com,AI Tool / Sales,"AI sales assistant that tracks emails, meetings & next steps."
Produktly,produktly.com,SaaS / Product,"Product tours, checklists, roadmaps & feedback widgets."
Zencoder AI,zencoder.ai,AI Tool / Dev,AI agent automating coding tasks & enhancing collaboration. (Not available)
Cursor,cursor.com,AI Tool / Dev,AI-powered IDE built to maximize coding productivity.
Wisprflow,wisprflow.ai,AI Tool / Writing,"Seamless voice dictation app for fast, clear writing."
BrowserAgent,browseragent.dev,AI Tool / Browser,Create custom AI agents running in your browser.
Embra,embra.ai,AI Tool / Productivity,AI tool that learns your work to manage and automate tasks.
AnswerHQ,answerhq.co,AI Tool / Support,AI customer support powered by your own content.
Fabric,fabric.so,SaaS / Productivity,"Unified digital workspace for files, clouds & notes."
n8n,n8n.io,SaaS / Automation,Workflow automation platform combining code + no-code.
Tella,tella.com,SaaS / Video,"Screen recorder for product demos, tutorials & courses."
Glean,glean.com,AI Tool / Work,"Work AI platform to search, create & automate with enterprise data."
Lens Protocol,lens.xyz,Web3 / SocialFi,Blockchain-based decentralized social platform.
Paragon,useparagon.com,SaaS / Dev Tool,Embedded integration platform to build SaaS integrations.
Laws of UX,lawsofux.com,Website / Design,Collection of UX design principles & best practices.
OrbitXPay,orbitxpay.com,Web3 / Fintech,VISA-powered crypto card to spend digital assets globally.
StoryBlocker,storyblocker.com,AI Tool / AR,Mobile AR + 3D tool for creating visualized assets.
Litur,litur.app,Mobile App / Design,"Color picker app to find, collect & organize real-world colors."
Madison Reed,madison-reed.com,E-commerce / Beauty,"At-home ammonia-free hair dye for healthy, natural color."
Moment,shopmoment.com,E-commerce / Photography,"Camera gear, online courses, and digital goods by creators."
LogoAI,logoai.com,AI Tool / Design,AI-powered logo generator & brand identity creator.
Hyperplex,hyperplex.xyz,Web3 / Finance,Boost LP positions with amplified DeFi yield sources.
Scandiboom,scandiboom.com,E-commerce / Art,Posters & wall art shipped worldwide from Copenhagen.
Allbirds,allbirds.com,E-commerce / Fashion,Eco-friendly shoes & apparel made from natural materials.
Rush & Danit,rushanddanit.com,Website / Portfolio,Creative duo portfolio site.
Airtable,airtable.com,SaaS / AI Tool,AI-native platform to build apps & deploy AI agents at scale.
